Title;Language;Genre;Runtime;IMDB Score
Enter the Anime;English/Japanese;Documentary;58;2.5
Dark Forces;Spanish;Thriller;81;2.6
The App;Italian;Science fiction/Drama;79;2.6
The Open House;English;Horror thriller;94;3.2
Kaali Khuhi;Hindi;Mystery;90;3.4
Drive;Hindi;Action;147;3.5
Leyla Everlasting;Turkish;Comedy;112;3.7
The Last Days of American Crime;English;Heist film/Thriller;149;3.7
Paradox;English;Musical/Western/Fantasy;73;3.9
Sardar Ka Grandson;Hindi;Comedy;139;4.1
Searching for Sheela;English;Documentary;58;4.1
The Call;Korean;Drama;112;4.1
Whipped;Indonesian;Romantic comedy;97;4.1
All Because of You;Malay;Action comedy;101;4.2
Mercy;English;Thriller;90;4.2
After the Raid;Spanish;Documentary;25;4.3
Ghost Stories;Hindi;Horror anthology;144;4.3
The Last Thing He Wanted;English;Political thriller;115;4.3
What Happened to Mr. Cha?;Korean;Comedy;102;4.3
Death Note;English;Horror thriller;100;4.4
Hello Privilege. It's Me, Chelsea;English;Documentary;64;4.4
Secret Obsession;English;Thriller;97;4.4
Sextuplets;English;Comedy;99;4.4
The Girl on the Train;Hindi;Thriller;120;4.4
Thunder Force;English;Superhero-Comedy;105;4.4
Fatal Affair;English;Thriller;89;4.5
Just Say Yes;Dutch;Romantic comedy;97;4.5
Seriously Single;English;Comedy;107;4.5
The Misadventures of Hedi and Cokeman;French;Comedy;99;4.5
5 Star Christmas;Italian;Comedy;95;4.6
After Maria;English/Spanish;Documentary;37;4.6
I Am the Pretty Thing That Lives in the House;English;Horror;89;4.6
Paris Is Us;French;Romance drama;83;4.6
Porta dos Fundos: The First Temptation of Christ;Portuguese;Comedy;46;4.6
Rattlesnake;English;Horror;85;4.6
The Players;Italian;Comedy;88;4.6
We Are One;French;Documentary;86;4.6
Finding Agnes;Filipino;Drama;105;4.7
IO;English;Science fiction/Drama;95;4.7
Sentinelle;French;Action;80;4.7
Sol Levante;English;Anime / Short;4;4.7
The Binding;Italian;Drama;93;4.7
We Can Be Heroes;English;Superhero;100;4.7
Christmas Crossfire;German;Thriller;106;4.8
Coin Heist;English;Heist;97;4.8
Mrs. Serial Killer;Hindi;Thriller;106;4.8
